text,tags
"[""Маска. Нормальная. "", ""Видимо нужен курс масок, чтобы увидеть эффект. "", ""Любимая масочка"", ""Лучшая цена здесь "", ""Увлажняет неплохо, но ничего сверх естественного "", ""Рабочая маска!"", ""Супер увлажняет"", ""Тканевая маска очень понравилась, увлажняет, питает. Соответствует описанию. Выкуп."", ""Все понравилось "", ""Маска очень освежает и делает лицо более ложечным!"", ""Люблю эту маску, качество как обычно на высоте у этого бренда!"", ""супер, отлично увлажняет "", ""Маска приятная, не скажу, что она убрала с лица отпечаток бессонных мамских ночей, но увлажнила и успокоила кожу хорошо "", ""Любимая маска, не вызывает высыпаний, под макияж тоже идеально ""]","[""Питает кожу"", ""Увлажняет надолго"", ""Освежает дыхание""]"
"[""Ничего особенного. Но и не плохая. "", ""Паста как паста, ничего особенного не увидела"", ""Хорошего качества паста. Чистим всей семьей, довольны. "", ""Ничего особенного"", ""Обычная паста, никакого отбеливающего эффекта "", ""Отличная паста , ещё закажу..."", ""Хорошая эффективная "", ""Отличная зубная паста."", ""Пока не пробовал, по виду норм! ""]","[""Отличное качество""]"
"[""Хорошая тушь, пользуюсь постоянно "", ""Давно пользуюсь только этой тушью, эффект натураль, легко смывается комфортно носится не осыпается"", ""Люблю этот бренд ! Очень нравится! "", ""Пользуюсь давно этой тушью, в золотистом цвете получше показалось "", ""Сошла с ресниц вместе с дождём"", ""Любимая тушь. Смывается просто водой.Годна до 2027 года. "", ""Действительно хорошо и долго держится. Не осыпается, но все же на верхнем веке немного отпечатывается за весь день носки, хотя вероятно это из-за того, что моя кожа сильно жирнится в течение дня. Работая 16 часов и даже успев хорошо поплакать тушь не потекла, маленькие крошки были под глазами и при попытке смахнуть их они не размазались"", ""Обычная тушь. Претензий производителю нет. Спасибо.""]","[""Мягко очищает"", ""Увлажняет надолго"", ""Подсушивает"", ""Не сушит""]"
"[""качество отлично, намазываю и одеваю перчатки, отличный эффект  "", ""Соответствует описанию"", ""Уже покупала,нравится."", ""Использую на ночь, утром ручки гладенькие. Рекомендую."", ""Хороший крем""]","[""Для ночного ухода""]"
"[""Хорошее увлажнение. Вообще коллекция патчей этого бренда на все случаи жизни"", ""Хорошо снимают отечность и припухлость. Толстые и красивые) "", ""Хорошие патчи для глаз , оч увлажняющие "", ""Без жутких ароматизаторов"", ""Очень удобна индивидуальная упаковка, беру с собой в дорогу"", ""Патчи нормальные, толстенькие ."", ""Очень удобно теперь "", ""патчи супер, с задачей справляются""]","[""Увлажняет надолго""]"
"[""Отличная маска. Заказываю не первый раз "", ""Не плохая "", ""Очень хорошая маска, качественная и преображающая. Буду заказывать ещё! "", ""Пока не пользовалась "", ""Никаких изменений не заметила "", ""Пока не пробовала "", ""Сразу применила маску- кожа просто блеск! Непередаваемые ощущения!""]","[""Освежает лицо"", ""Отличное качество""]"
"[""Не удивил. Голова в течении дня становится снова как не мытая"", ""Нормальный крем шампунь."", ""Дороговато…"", ""Приятный запах ""]","[""Легкий аромат""]"
"[""Наношу крем на руки, из-за холода кожа на руках очень сохнет . Пока что только этот крем помог до этого наносила на лицо и решила попробовать на руки , оставляет жирную пленку поэтому наношу перед сном утром ручки как у младенца. Однозначно советую "", ""Лучший крем для моей кожи"", ""Хорошо увлажняет и успокаивает кожу"", ""Любимый ❤️ крем - бальзам . \nМажу им все  и всех.Себе лицо (как сос восстановление),дочке попу (ходит в памперсах часто раздражения).Мажу этим кремом аллергические реакции в виде высыпание у себя и у ребенка-справляется за сутки не останься ни следа.Мажу им зимой руки (у меня лопаются руки в кровь)-заживляет за ночь.Он очень жирный.На коже остается,впитывается долго (при хорошем слое),пока не впитался липнет и блестит.Если наносить не много,как впитается на коже не ощущается.Под многослойный макияж не подойдет,скатается. Текстура жирная и плотная ."", ""Очень понравился!"", ""Отлично питает кожу, для зимы огонь "", ""Классный крем для сухой кожи "", ""Отлично смягчает шелушение на лице у подростка. "", ""любимая находка для сухой кожи, перманентные точки шелушения и сухости вокруг рта которые меня сопровождали годами исчезли благодаря этому крему"", ""Давно им пользуемся, ребенку подходит. "", ""Появляются камедоны от этого крема, хотя сам крем не плохой, отзыв спустя время, пользовалась с перерывами, результат тот же, камедоны(("", ""Плотная и жирная текстура. Хорошо на зиму. Без отдушек. Запаха нет."", ""Очень хороший бальзам "", ""Достаточно плотный, для моей комбо подошел, пользуюсь не каждый день. Хороший бальзам "", ""Очень жирный крем, подходить для использования ночью, либо в морозы"", ""Крутой крем. Очень хорошо увлажняет и питает кожу как взрослых , так и детей. Без отдушек, текстура однородная.""]","[""Освежает лицо"", ""Мягко очищает"", ""Увлажняет надолго"", ""Высокая плотность"", ""Для сухих волос""]"
"[""Муж любит только его, оч довольны всегда этой фирмой"", ""Хорошая концентрация, небольшой расход для обильной пены, приятный аромат "", ""Мне понравилось "", ""Мужу очень нравится ! Лучше , чем Зиленски""]","[""Легкий аромат"", ""Высокая плотность""]"
"[""Хорошее средство "", ""Понравился"", ""Приятный запах,удобно наносить "", ""Это чудо крем!!!! Избавилась от трещин!"", ""Крем хороший ""]","[""Удобный"", ""Легкий аромат""]"
"[""Широкая. Скорей всего плохо может прочищать задние  зубы."", ""Хорошая щетка, щетинки мягкие, чистит отлично."", ""Хорошая,мягкая щетка. Ребенку нравится."", ""Отличная щетка!"", ""купила еще одну в другом цвете для второй внучки ."", ""Очень хороший бренд. Беру детям и пасту и щетки ""]","[""Мягко очищает"", ""Деликатно очищает""]"
"[""Супер, хороший шампунь"", ""Приятный аромат, густая консистенция. Волосы действительно более мягкие"", ""Понравился"", ""Хороший мягкий шампунь"", ""Хороший, похож на оригинальный что был раньше ""]","[""Легкий аромат"", ""Нежный""]"
"[""Классная , естественный цвет "", ""Все нравится"", ""Супер! Рекомендую "", ""Придает губам насыщенный естественный оттенок, не липкий, прекрасно увлажняет. Стильный дизайн, колпачок на магните."", ""Бальзам хороший. Смягчает губы. Запах колы)"", ""Приятный аромат , товар пришел быстро, хорошо упакован . Спасибо "", ""Приятный аромат,увлажняет губы ,лёгкий оттенок"", ""Понравилась помада, легкий оттенок дает, приятная, стильная упаковка. "", ""Приятный запах. Похоже на кока-колу. Приятно ложится, нет липкости, придает цвет бледным губам."", ""Мне не очень понравилось. Пигмента вообще не видно. Увлажняет хорошо на некоторое время.  А цвет какой-то незаметный совсем на моих губах. ""]","[""Отличное качество"", ""Легкий аромат"", ""Увлажняет надолго"", ""Не стягивает кожу""]"
"[""крем  супер,  рекомендую "", ""Восторга нет,обычный,улучшений не заметила"", ""Пришел разбитый"", ""Не подошли все продукты этого бренда к сожалению. Все индивидуально. "", ""Мне понравился ."", ""Крем не плохой. Но при длительном использовании началась аллергия. Больше не куплю."", ""Отличный крем"", ""Приятный крем, хорошо впитывается, про действие пока непонятно, пользуюсь всего 3 дня"", ""Приятная консестенция,  хорошо впитывается, чудо конечно  не стоит ждать, но поддерживать  кожу нужно!!"", ""пользуюсь ежедневно на всё лицо, довольна"", ""Увлажняет хорошо , но есть эффект блестит лицо "", ""Неплохо увлажняет "", ""Приятная консистенция крема. \nМне крем подходит."", ""Крем очень понравился,работает с первого нанесения."", ""Данная линейка отличная, подходит к сухой коже. "", ""Приятный аромат крема, хорошо впитывается и комфортно ощущается на коже. "", ""Мне нравится кремушек"", ""хорошо впитывается и не увлажняет. Появляется сухость. Не подходит мне.\n"", ""Крем понравился"", ""Крем легкий, плотный, впитывается хорошо, не липкий. Использую днем. Действие пока не поняла."", ""Пользуюсь им уже месяц.Ну конечно морщины не исчезают,но эффект увлажнения есть. Наношу на мимические морщинки вокруг глаз,на ночь. Утром свежий взгляд,никаких припухлостей и мешков. Также купила маме,она на всё лицо наносит,крем ей этот очень нравится,лицо выглядит свежим,отдохнувшим.Мы довольны очень. От дорогих кремов такого эффекта,как от этого крема нет.Секрет в составе (Ретинол) Спасибо производителю "", ""Пользуюсь. На ощупь приятный"", ""Хорошего качества.\nВпитывается хорошо и освежает.""]","[""Освежает лицо"", ""Увлажняет надолго"", ""Не стягивает кожу"", ""Отличный состав"", ""Для сухих волос""]"
"[""Очень приятно пахнущий хороший бальзам. Взяла в дополнение к шампуню этой же серии."", ""Давно пользуюсь данной фирмой и все нравится  "", ""Аромат бомба! Рекомендую"", ""Хорошо увлажняет , но не так как хотелось бы ""]","[""Легкий аромат"", ""Увлажняет надолго""]"
"[""Использую после умывания, просто наношу на ладони и втираю в лицо, легкое увлажнение "", ""Люблю все Clarins. Рада что нашла здесь. Спасибо!"", ""Использую летом вместо крема, растираю лосьон по лицу, приятный аромат, хорошее увлажнение для жирной кожи "", ""Хороший флюид. Кожа весь день свежая и увлажнённая"", ""Идеально увлажняет "", ""В целом все хорошо, но минус бал за неудобную упаковку""]","[""Освежает лицо"", ""Для чувствительной кожи"", ""Легкий аромат"", ""Увлажняет надолго""]"
"[""Отличное легкое масло ! Запах супер "", ""Не знаю ,кто пишет отзывы,но имейте в виду масло в пластмассовом флаконе,запах не соответствует,пользовалась данным маслом с 2019 года на регулярной основе,не могу перепутать,консистенция более водянистая,не советую\nДумала на ламоде будет оригинал,так как на маркетплейсах смысла искать нет,там подделки"", ""Придает легкий блеск, аромат приятный, но быстро выветривается. Классическое масло (не Лайт) нравилось больше, жалко что сейчас его нет в продаже "", ""Качество на высоте."", ""Шикарное масло "", ""Легкое масло,приятный запах""]","[""Легкий аромат"", ""Быстро расходуется""]"
"[""Как и крем имеет легкий, нежный аромат. В жару использовала соло. Каких то вау эффектов не жду. Пока норм "", ""Вроде неплохая, но нужно больше времени чтобы увидеть результат."", ""Бережно очищает, не сушит кожу. \nОтличный гель для умывания "", ""Очень нравится эта сыворотка""]","[""Легкий аромат"", ""Деликатно очищает"", ""Не стягивает кожу""]"
"[""Люблю это средство. Покупаю его не первый раз. Хорошо увлажняет кожу."", ""Сыворотку надо вбивать, достаточно липкая. Пока привыкаем друг к другу. Видимых результатов пока нет, но кожа хуже не стала."", ""Самая приятная цена на ламоде была, жалею, что взяла не 2шт"", ""Переоцененная штука"", ""Сыворотка пришла без коробки - в пакетике от Ламода. Естественно отказ - что туда налили, не понятно. Сисдерма всегда в коробках и в пленке упакована."", ""Хорошая, но не вау). "", ""Отличная , работающая на все . Вылечила пигментацию. "", ""Очень люблю эту сыворотку. Покупаю регулярно на весну. Возраждает кожу после зимней «спячки». Достаточно экономный, флакона хватает на пару месяцев точно"", ""Пользуюсь уже второй раз. Отличный эффект, после вскрытия храню в холодильнике."", ""Хорошая сыворотка""]","[""Увлажняет надолго""]"
"[""Цвет не совпадает от слова совсем, текстура не плохая"", ""Бренд давно знакомый, тени, бальзам для губ на основе прополиса брала не раз, тушь, все прекрасно. С этой помадой прям промахнулась… совсем сухая, цвет матовый в общем ни увлажнения ни красоты "", ""Качество помады и цвет на высоте!"", ""Отличная помада."", ""выгоднее чем в оф сайте"", ""На забирается в складки, идеальна с загорелой кожей "", ""Отлично! Как всегда. Ламода спасибо за качественный товар"", ""Цвет не такой, как на сайте в карточке товара. Не понравился футляр, закрывается со скрипом и отличается по цвету ( фото приложила). По текстуре норм, но вот учитывая эти моменты, сняла звезду."", ""Цвет красивый.  Не скатывается.  Отличная помада.  Не липкая.  Очень понравилась. "", ""Помада цвета как надо и с ванильным запАхом! Только называется цвет розовый, а он бежевый, мне подошёл! Я довольна!""]","[""Не сушит"", ""Не стягивает кожу""]"
"[""хороший ополаскиватель,освежает полость"", ""Все супер, приятный вкус "", ""Хороший ополаскиватель"", ""Классный ополаскиватель.Отбеливает.Содержит хлоргексидин,а это оч круто""]","[""Освежает лицо"", ""Легкий аромат"", ""Освежает дыхание""]"
"[""хорошо впитывается, кожа после него мягкая, ненавязчивый аромат. \n"", ""Крем понравился.Цена- супер!"", ""Хороший крем, отлично питает сухую кожу ручек! Ламоде спасибо за отличное предложение - вышло меньше 300 рублей за 1 крем!"", ""Хорошо увлажняет,быстро впитывается""]","[""Легкий аромат"", ""Быстро расходуется"", ""Увлажняет надолго""]"
"[""моя любимая расческа теперь "", ""Любимый бренд, trevel формат, рекомендуем "", ""Хорошая расческа, удобно помещается в руке, эстетично "", ""Хорошо распутывает волосы "", ""Я совершенно счпмтлива, случайно нашла эту расческв на Ламоде, не аеиилп, что будет распутывать . Распутывает. Эфыективнт.  Как я опоьле обходиламт  без нее, не пончтно "", ""удобная, как и большая версия. мои пористые и пушистые волосы расчесывает без повреждений "", ""Я взрослая, но рука маленькая, расческой мне удобно пользоваться, плюс эту малышку удобно брать с собой. Хорошо расчёсывает длинные тонкие волнистые волосы, не ломает. "", ""Купила на подарок, распутывает даже самые комковатые волосы"", ""Уже лет 10 пользуюсь расческами только этого бренда"", ""Удобная очень и легкая "", ""Понравилась. Сначала думала такая маленькая будет не такая эффектная как стандартная , но я ошибалась. Все супер "", ""Моя любовь! "", ""Удобный размер для сумки "", ""Очень приятно для кожи головы ‍♀️"", ""Люблю эти расчески, взяла компактный вариант для сумочки"", ""Расческа хорошая, малышка чтобы взять в дорогу, единственное крышечку бы, зубцы прикрыть"", ""Все отлично"", ""Как обычно все отлично  расческа оригинал, качественная, брала на подарок очень понравилось ❤️\n"", ""Оригинал. Упаковка без изъянов. Купила в подарок."", ""Хорошая малютка. Взяла дочке в школу "", ""Расческа миниатюрная, можно будет положить в любую сумочку, расчесывает хорошо ,волосы не дёргает"", ""Очень ладная расческа. Хорошо ложится в ладонь.Удобно расчесывать.Маленькая.Удобно брать с собой в сумку."", ""Оригинал. Хорошая расческа, удобная и вместительная "", ""Лучшие расчёски!"", ""Удобный формат "", ""Для моих волос слабовата, хотя имею не слишком густые волосы! Для негустых волос возможно будет идеальна! Удобная"", ""Идеальная ""]","[""Отличное качество"", ""Удобный"", ""Для сухих волос"", ""Деликатно очищает""]"
"[""Ничего особенного, не соответствует заданным характеристикам. Я не увидела «эффекта объема»"", ""Отличная тушь. Щетка удобная и удлиняет хорошо и объем придает "", ""Отличная тушь, без комочков, хорошо смывается   "", ""Очень хорошо разделяет и прокрашивает "", ""Отличная туш! Хорошо смывается мицеллярной водой"", ""Хорошая тушь.  Без комочков.  Не осыпается. "", ""Отличная тушь, оч довольна"", ""Тушь понравилась, буду брать ещё"", ""Отличная тушь! Рекомендую."", ""Хорошая тушь, прокрашивает ресницы ровно, без комков. Немного не выдерживает жару в 30 градусов, под конец дня были темные следы под глазами, в остальном понравились. "", ""Хорошая и стойкая, без комков "", ""Понравилась! Черная. Щеточка потрясная. Оч удобно прокрашивать ресницы от корней до кончиков."", ""Замечательная тушь, не осыпается , не отпечатывается Реснички выглядят естественно  Благодаря отзывам , нашла хорошую тушь))"", ""Классный тушь "", ""Хорошая тушь и кисточка, хорошо прокрашивает ресницы"", ""Хорошая тушь, щеточка отличная "", ""Не удлиняет совсем. Есть тушь за такую цену гораздо лучше.""]","[""Освежает лицо"", ""Мягко очищает"", ""Удлиняет ресницы"", ""Подсушивает"", ""Даёт объём"", ""Удобный"", ""Не сушит""]"
"[""Пользуюсь не первый год ."", ""Бальзам для всех семи "", ""Не проверили , сразу был сломан носик у дозатора . "", ""Очень понравился ! "", ""увлажняет кожу""]","[""Освежает лицо"", ""Увлажняет надолго""]"
"[""мои любимые"", ""К сожалению мне пришел явно не оригинал,очень неприятно и отвратно,что с оригиналом даже рядом не стоит! Разочарования полное,пахнет спиртом,далее еееееле елеее отдаленное звучание и все,ни аромата,ни шлейфа(на минуточку больше 20 ки по стоимости) ни настроения… Увы и ах…Сразу пишу,что у сестры есть оригинал,который после 1 пшика остается ну на часа 4 точно. Тут пшиков 10 как минимум,и даже чуть чуть не остается. После нее и я заказала на Ла Моде,была уверенна,что тут меня не обманут((((( "", ""Очень вкусный и необычный парфюм, пришел в такой пленке, что немного меня смутило, но при этом наклеены вот так наклейки, крышка туго одевается и снимается. При этом аромат очень стойкий, уверена, что оригинал потому что слушала их на распив во много известных бутиках масляных духов и там меня что-то смущало в запахе, присутствовала какая-то химозность, здесь этого нет. Огромный плюс покупки на lamoda это очень хорошая скидка, везде они стоят 22-23 тыс, здесь же удалось купить за 17 с чем-то."", ""Стойкость и шлейф уже не те, что раньше. Грустно. Видимо выгоднее продавать  духи, которые быстро заканчиваются, т к приходится в течении дня их наносить по несколько раз. Сам аромат всё тот же. В оригинальности не сомневаюсь."", ""Отличный запах! Оригинал"", ""Парфюмерная вода очень понравилась, приятный аромат, очень очень стойкий, отличная упаковка, оригинал, и с хорошей скидкой!"", ""Жене очень понравился, будет носить с удовольствием."", ""Как увидела ,сразу купила,НО ОНИ ВООБЩЕ НЕ ЗАШЛИ‍♀️Пока стоят,может время пройдёт и понравятся"", ""Очень понравилась, лучшая цена на ламоде!"", ""Аромат шикарный,стойкие! Оригинал!"", ""Обожаю этот аромат "", ""Классный аромат, очень комплиментарный и женственный"", ""Честный знак бьётся, с упаковкой все ок. Девичий, нежный, лёгкий на весну- лето.  Аромат чистоты, аромат свежего белья! без за теста, как и любой другой не стоит брать. По стойкости не знаю, нужно время разносить."", ""Всё хорошо "", ""Мне парфюм понравился рекомендую "", ""Цена с учетом акции, оригинал 100%""]","[""Легкий аромат"", ""Освежает дыхание"", ""Слабое отшелушивание""]"
